usd_cleaning_fee,f_property_type,f_room_type,f_room_type2,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,usd_price_day,p_host_response_rate,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,d_reviews_per_month,d_24hourcheckin,d_airconditioning,d_breakfast,d_buzzerwirelessintercom,d_cabletv,d_carbonmonoxidedetector,d_cats,d_dogs,d_doorman,d_doormanentry,d_dryer,d_elevatorinbuilding,d_essentials,d_familykidfriendly,d_fireextinguisher,d_firstaidkit,d_freeparkingonpremises,d_freeparkingonstreet,d_gym,d_hairdryer,d_hangers,d_heating,d_hottub,d_indoorfireplace,d_internet,d_iron,d_keypad,d_kitchen,d_laptopfriendlyworkspace,d_lockonbedroomdoor,d_lockbox,d_otherpets,d_paidparkingoffpremises,d_petsallowed,d_petsliveonthisproperty,d_pool,d_privateentrance,d_privatelivingroom,d_safetycard,d_selfcheckin,d_shampoo,d_smartlock,d_smokedetector,d_smokingallowed,d_suitableforevents,d_tv,d_washer,d_washerdryer,d_wheelchairaccessible,price,id,neighbourhood_cleansed,cancellation_policy,room_type,property_type
20,House,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,80,100,2,1,98,53,2,1.29,10,3,1,1230,1.29,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,80,1696001,Hackney,strict,Entire home/apt,House
10,Apartment,Private room,Private,flexible,Real Bed,Hackney,150,NA,2,1,NA,0,1,NA,0,5,1,NA,NA,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,150,4151158,Hackney,flexible,Private room,Apartment
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,30,100,2,1,100,1,1,0.23,15,1,1,128,0.23,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,13629629,Hackney,flexible,Private room,Apartment
12,Apartment,Private room,Private,moderate,Real Bed,Hackney,29,NA,2,1,100,7,1,0.65,0,2,1,319,0.65,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,29,11732568,Hackney,moderate,Private room,Apartment
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,40,100,2,1,NA,0,1,NA,0,2,1,NA,NA,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,40,16687408,Hackney,flexible,Private room,Apartment
NA,Apartment,Private room,Private,strict,Real Bed,Hackney,38,NA,2,1,92,10,1,0.88,0,1,1,339,0.88,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,38,12019448,Hackney,strict,Private room,Apartment
NA,House,Private room,Private,flexible,Real Bed,Hackney,30,NA,2,3,100,1,1,0.18,5,2,1,169,0.18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30,2119021,Hackney,flexible,Private room,House
NA,Apartment,Private room,Private,moderate,Real Bed,Hackney,110,NA,2,1.5,NA,0,1,NA,0,2,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,110,502289,Hackney,moderate,Private room,Apartment
35,House,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,190,67,4,1,96,11,4,0.26,15,2,2,1251,0.26,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,190,1257914,Hackney,flexible,Entire home/apt,House
NA,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,71,86,6,1,NA,0,1,NA,0,4,2,NA,NA,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,71,13342662,Hackney,strict,Entire home/apt,Apartment
NA,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,115,100,5,1,95,4,4,0.18,20,3,2,656,0.18,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,115,5331886,Hackney,strict,Entire home/apt,Apartment
NA,House,Private room,Private,flexible,Real Bed,Hackney,35,20,2,1,100,1,1,0.52,0,1,1,57,0.52,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,35,16490286,Hackney,flexible,Private room,House
NA,Apartment,Private room,Private,flexible,Couch,Hackney,45,NA,2,1,NA,0,1,NA,10,1,1,NA,NA,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,45,2346751,Hackney,flexible,Private room,Apartment
48,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,79,NA,2,1,92,10,1,0.85,0,3,1,353,0.85,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,79,11001281,Hackney,strict,Entire home/apt,Apartment
20,House,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,85,100,2,1,NA,0,1,NA,0,2,1,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,85,16733411,Hackney,flexible,Entire home/apt,House
NA,House,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,100,NA,2,1.5,100,1,1,0.04,0,1,1,742,0.04,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,100,5323290,Hackney,flexible,Entire home/apt,House
150,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,121,96,6,1.5,NA,0,1,NA,7,1,4,NA,NA,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,121,17258516,Hackney,strict,Entire home/apt,Apartment
20,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,69,100,4,1,95,73,1,1.61,0,3,2,1357,1.61,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,69,1188836,Hackney,moderate,Entire home/apt,Apartment
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,30,NA,1,1,NA,0,1,NA,0,1,2,NA,NA,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,30,14242650,Hackney,flexible,Private room,Apartment
NA,House,Private room,Private,flexible,Real Bed,Hackney,60,100,3,1,100,1,1,0.48,0,4,NA,61,0.48,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,60,16424347,Hackney,flexible,Private room,House
10,Apartment,Private room,Private,strict,Real Bed,Hackney,29,100,1,1,93,125,1,4.15,0,2,1,902,4.15,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,29,3639077,Hackney,strict,Private room,Apartment
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,73,NA,2,1,NA,0,1,NA,0,1,1,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,73,6788203,Hackney,flexible,Private room,Apartment
20,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,55,100,2,1,93,3,2,0.87,0,5,1,103,0.87,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,55,14572278,Hackney,strict,Entire home/apt,Apartment
12,House,Private room,Private,strict,Real Bed,Hackney,66,100,2,0.5,NA,0,1,NA,8,1,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,66,17339749,Hackney,strict,Private room,House
15,Apartment,Private room,Private,strict,Real Bed,Hackney,33,100,2,1.5,84,12,1,2.02,0,2,1,176,2.02,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,33,14482740,Hackney,strict,Private room,Apartment
NA,House,Private room,Private,strict,Real Bed,Hackney,39,100,2,1.5,70,4,1,0.43,0,2,1,280,0.43,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,39,13171330,Hackney,strict,Private room,House
20,House,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,100,100,6,1,NA,0,4,NA,20,2,4,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100,16992311,Hackney,flexible,Entire home/apt,House
36,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,132,100,7,1.5,NA,0,1,NA,0,3,2,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,132,17147365,Hackney,strict,Entire home/apt,Apartment
28,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,66,100,2,1,NA,0,1,NA,0,2,1,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,66,16980433,Hackney,strict,Entire home/apt,Apartment
40,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,95,100,4,1,90,15,1,1.07,7,2,2,420,1.07,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,95,7283114,Hackney,strict,Entire home/apt,Apartment
15,Apartment,Private room,Private,strict,Real Bed,Hackney,39,100,2,2,50,2,2,0.23,10,1,1,257,0.23,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,39,12794205,Hackney,strict,Private room,Apartment
15,Apartment,Private room,Private,strict,Real Bed,Hackney,33,99,2,1,71,11,1,3.33,0,2,1,98,3.33,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,33,16093430,Hackney,strict,Private room,Apartment
35,Apartment,Private room,Private,strict,Real Bed,Hackney,80,100,2,0.5,93,36,1,0.55,30,1,1,1956,0.55,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,80,244126,Hackney,strict,Private room,Apartment
15,House,Private room,Private,strict,Real Bed,Hackney,59,100,2,1,100,3,1,0.3,0,2,1,300,0.3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,59,12577140,Hackney,strict,Private room,House
35,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,90,NA,2,1,90,4,1,0.19,0,5,1,645,0.19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,4825530,Hackney,moderate,Entire home/apt,Apartment
15,House,Private room,Private,flexible,Real Bed,Hackney,60,NA,2,2,NA,0,1,NA,0,1,1,NA,NA,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,60,9856274,Hackney,flexible,Private room,House
NA,Apartment,Private room,Private,moderate,Real Bed,Hackney,54,100,2,1,96,63,1,6.36,25,1,1,296,6.36,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,54,12822730,Hackney,moderate,Private room,Apartment
35,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,265,100,8,3,88,23,6,0.41,20,2,5,1664,0.41,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,265,395719,Hackney,strict,Entire home/apt,Apartment
30,House,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,85,NA,4,1,94,10,3,1.08,10,1,2,278,1.08,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,85,12551309,Hackney,flexible,Entire home/apt,House
25,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,89,NA,2,1,98,8,2,0.22,10,1,1,1106,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,89,2206362,Hackney,moderate,Entire home/apt,Apartment
15,Apartment,Private room,Private,flexible,Real Bed,Hackney,52,100,2,1,100,16,1,5.58,0,1,1,84,5.58,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,52,16201894,Hackney,flexible,Private room,Apartment
45,House,Private room,Private,strict,Real Bed,Hackney,55,100,2,1,92,12,2,0.92,0,3,1,389,0.92,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,55,5625607,Hackney,strict,Private room,House
NA,House,Private room,Private,flexible,Real Bed,Hackney,20,100,1,2,NA,0,1,NA,0,1,5,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,20,11140474,Hackney,flexible,Private room,House
5,Apartment,Private room,Private,moderate,Real Bed,Hackney,32,100,2,1,91,17,1,2.22,8,2,1,229,2.22,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,32,13759538,Hackney,moderate,Private room,Apartment
15,House,Private room,Private,strict,Real Bed,Hackney,28,93,2,1.5,87,11,1,1.2,12,1,1,274,1.2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,28,13096962,Hackney,strict,Private room,House
40,House,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,200,100,5,1.5,98,8,4,1.14,0,2,5,210,1.14,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,200,1927679,Hackney,strict,Entire home/apt,House
NA,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,99,100,3,1,84,5,2,0.24,20,3,1,615,0.24,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,99,5332140,Hackney,strict,Entire home/apt,Apartment
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,32,100,1,1,100,1,1,0.09,0,4,1,319,0.09,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,32,10878517,Hackney,flexible,Private room,Apartment
30,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,100,100,2,1,90,2,1,0.2,30,3,1,295,0.2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,100,8637968,Hackney,strict,Entire home/apt,Apartment
NA,House,Private room,Private,flexible,Real Bed,Hackney,60,NA,2,1,NA,0,1,NA,0,1,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,60,7833442,Hackney,flexible,Private room,House
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,30,100,2,1,97,6,1,0.49,0,3,1,370,0.49,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,30,11247586,Hackney,flexible,Private room,Apartment
NA,House,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,100,NA,4,1,NA,0,2,NA,25,3,2,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100,9671580,Hackney,flexible,Entire home/apt,House
NA,Apartment,Private room,Private,strict,Real Bed,Hackney,49,NA,2,1,100,2,1,0.09,5,7,1,686,0.09,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,49,5090433,Hackney,strict,Private room,Apartment
NA,House,Private room,Private,flexible,Real Bed,Hackney,163,NA,1,2,NA,0,1,NA,0,1,1,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,163,10809649,Hackney,flexible,Private room,House
